source,target,weight
NR3C1,ELK1,1
NR3C1,ETS1,1
NR3C1,NFKB1,1
NR3C1,NR1I2,2
NR3C1,SRF,1
NR3C1,STAT1,1
NR3C1,TP53,1
NR4A3,PPARG,1
NRL,NR2E3,0
NUPR1,EP300,2
NUPR1,TP53,2
ONECUT1,MITF,2
ONECUT2,MITF,0
PA2G4,AR,2
PA2G4,E2F1,1
PA2G4,E2F1,2
PAX3,MITF,0
PAX3,MITF,1
PAX3,MITF,2
PAX8,E2F1,0
PAX8,TP53,1
PAX8,WT1,0
PCGF2,ZEB1,1
PER2,SNAI2,1
PER2,TWIST1,1
PHB2,ARNT,1
PIR,NFKB1,2
PITX1,JUN,1
PITX1,NKX3-1,1
PITX1,RUNX2,1
PITX2,LEF1,0
PML,EP300,0
PML,NR4A1,1
PML,TP53,2
POLR1A,E2F1,1
POU1F1,VDR,0
POU2F1,AR,2
POU2F1,GATA1,2
POU2F1,SNAI2,0
POU2F1,SNAI2,1
POU2F1,TWIST1,0
POU2F1,TWIST1,1
POU3F2,MITF,2
PRDM1,CIITA,1
PRDM1,MYC,1
PROX1,NR1I2,1
PROX1,TWIST1,1
PTTG1,MYC,0
PTTG1,MYC,2
RAD51,SP1,0
RARA,ETS1,2
RB1CC1,RB1,0
RB1CC1,RB1,2
RBL1,BRCA1,1
RBL1,MYC,2
RBL2,BRCA1,1
RBL2,E2F4,2
RBPJ,NFKB1,2
REST,AR,2
REST,STAT1,1
RFX1,CIITA,2
RFX1,HDAC1,2
RFX1,MYC,1
RORA,E2F1,2
RUNX1,JUN,0
RUNX1,KLF4,2
RUNX1,NF1,1
RUNX1,NFKB1,2
RUNX1,RELA,2
RUVBL1,TP53,1
SALL3,HDAC9,1
SALL4,ZEB1,0
SFPQ,STAT6,1
SIN3A,E2F1,1
SIRT3,FOXO3,2
SMAD7,MYC,0
SMURF2,KLF5,1
SNAI1,VDR,1
SNIP1,MYC,2
SNW1,VDR,2
SOX10,MITF,0
SOX10,MITF,1
SOX10,MITF,2
SOX4,NKX3-1,2
SOX6,CTNNB1,1
SOX6,TP53,0
SOX9,AR,0
SOX9,KLF4,2
SOX9,MITF,2
SP100,ETS1,1
SPI1,GATA1,0
SPI1,GATA1,2
SPI1,STAT3,2
SREBF1,AR,2
SREBF1,PPARG,2
SREBF2,PPARG,2
SRSF1,MYC,2
SRSF1,NFKB1,1
STAT2,IRF1,0
STAT2,STAT1,2
STAT4,IRF1,2
STAT4,MYC,0
SUZ12,SNAI2,1
SUZ12,TWIST1,1
TAF1,AR,0
TAF1,TBP,2
TAF4,ATF7,1
TAL1,MYB,0
TAL1,MYCN,0
TAL1,NFKB1,1
TBL1X,MYC,2
TBPL1,NF1,0
TBX21,GATA3,2
TBX21,YY1,2
TCF3,MYC,0
TCF3,MYC,1
TCF7,SNAI2,2
TEAD1,SRF,2
TFCP2,WT1,2
TFDP1,TP53,1
TFDP3,E2F1,2
TLX1,MYC,0
TNFAIP3,JUN,1
TNFAIP3,NFKB1,1
TNFAIP3,NFKB1,2
TNFAIP3,RELA,1
TNFAIP3,RELA,2
TNFAIP3,SATB1,2
TP53BP1,BRCA1,0
TP53BP1,BRCA1,2
